"Party","Page Name","Page ID"
"CU","ChristenUnie Gemeente Utrechtse Heuvelrug","1396369613948643"
"CU","ChristenUnie Gooise Meren","786969904752487"
"CU","ChristenUnie Groningen","119509878102869"
"CU","ChristenUnie Haarlem","550093515075670"
"CU","ChristenUnie Harderwijk/Hierden","219046481529214"
"CU","ChristenUnie Hattem","378710118820465"
"CU","ChristenUnie Heerenveen Campagne","104602375491403"
"CU","ChristenUnie Het Hogeland","776309349101726"
"CU","ChristenUnie Hoeksche Waard","1000182456818319"
"CU","ChristenUnie Hoorn","350083421777747"
"CU","ChristenUnie IJsselstein","1420541648174558"
"CU","ChristenUnie Kampen","274942159318919"
"CU","ChristenUnie Katwijk","164931596869445"
"CU","ChristenUnie Krimpen aan den IJssel","395993140522461"
"CU","ChristenUnie Lansingerland","371518953020043"
"CU","ChristenUnie Leiden","644892975571375"
"CU","ChristenUnie Lelystad","377424915687738"
"CU","ChristenUnie Limburg","207470586040705"
"CU","ChristenUnie Maastricht","100347865580369"
"CU","ChristenUnie Meppel","2269368456720739"
"CU","ChristenUnie Molenlanden","1938971373084052"
"CU","ChristenUnie Montfoort/Linschoten","102414324560654"
"CU","ChristenUnie Nieuwegein","191350871367589"
"CU","ChristenUnie Noord-Holland","1513719122247725"
"CU","ChristenUnie Nunspeet","350134615063972"
"CU","ChristenUnie Oldebroek","801437323219592"
"CU","ChristenUnie Ommen","384737181678824"
"CU","ChristenUnie Overbetuwe","164161077735859"
"CU","ChristenUnie Provincie Utrecht","544720052310663"
"CU","ChristenUnie Rheden","106816070920568"
"CU","ChristenUnie Rhenen","872660492821766"
"CU","ChristenUnie Ridderkerk","349817395064360"
"CU","ChristenUnie Roosendaal","1963433647249468"
"CU","ChristenUnie Rotterdam","243148232487383"
"CU","ChristenUnie SGP Den Haag","720698887955015"
"CU","ChristenUnie SGP Enkhuizen","715343015163595"
"CU","ChristenUnie SGP Vlaardingen","239284526586469"
"CU","ChristenUnie Stadskanaal","342907735809607"
"CU","ChristenUnie Tholen","645684475497789"
"CU","ChristenUnie Tytsjerksteradiel","1402757899965534"
"CU","ChristenUnie Urk","107794439556152"
"CU","ChristenUnie Utrecht","331768960226513"
"CU","ChristenUnie Velsen","397594493709630"
"CU","ChristenUnie Wageningen","1400321173602759"
"CU","ChristenUnie Wijdemeren","1967406876825466"
"CU","ChristenUnie Zeeland","157671251089913"
"CU","ChristenUnie Zeist","1438570786354286"
"CU","ChristenUnie Zutphen-Warnsveld","258160141020732"
"CU","ChristenUnie Zwolle","402039413225497"
"CU","ChristenUnie provincie Groningen","1386401111662274"
"CU","ChristenUnie waterschap Vechtstromen","789954968017738"
"CU","ChristenUnie-SGP Doetinchem","680769958630097"
"CU","ChristenUnie-SGP Dordrecht","1544074699166713"
"CU","ChristenUnie-SGP Haarlemmermeer","1962270687342032"
"CU","ChristenUnie-SGP Heerde","683029705063866"
"CU","ChristenUnie-SGP Lopik","105942258650370"
"CU","ChristenUnie-SGP NOP","1257020967657390"
"CU","ChristenUnie-SGP Nijkerk&Hoevelaken","467199513374148"
"CU","ChristenUnie-SGP Nissewaard","1826896250907201"
"CU","ChristenUnie-SGP Noord-Brabant","1585007828396450"
"CU","ChristenUnie-SGP Oudewater","1438634716368426"
"CU","ChristenUnie-SGP Stichtse Vecht","359895624129749"
"CU","ChristenUnie-SGP Woerden","111497784772886"
"CU","ChristenUnie-SGP Zwijndrecht","1378601885714069"
"CU","ChristenUnie/SGP Woerden","313623315428494"
"CU","ChristenUnie/SGP Zuidplas","206481856194643"
"CU","Christenunie Baarn","1391237594477062"
"CU","Christenunie Hardenberg","1407071029524552"
"CU","Christenunie Harlingen","553853824711422"
"CU","Christenunie Opsterland","935614859832372"
"CU","Christenunie Putten","126761460851123"
"CU","Christenunie Renswoude","387809301335062"
"CU","Christenunie SGP Soest","1455801204633505"
